epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3955.61,0.74717,0.72615,0.61892,0.95305,1,0.995,0.72384,0.48092,0.65234,0.5421,0.000253086,0.000253086,0.000253086
80,3986.24,0.6256,0.61623,0.55357,0.95305,1,0.995,0.72384,0.48092,0.65234,0.5421,0.000242087,0.000242087,0.000242087
81,4018.39,0.54377,0.6416,0.53836,0.95305,1,0.995,0.72384,0.48092,0.65234,0.5421,0.000231088,0.000231088,0.000231088
82,4060.82,0.83727,0.76387,0.79272,0.92955,1,0.995,0.70699,0.53054,0.67537,0.54068,0.000220089,0.000220089,0.000220089
83,4093.27,0.89915,1.16779,0.71505,0.92955,1,0.995,0.70699,0.53054,0.67537,0.54068,0.00020909,0.00020909,0.00020909
84,4116.05,0.6767,0.63944,0.54633,0.92955,1,0.995,0.70699,0.53054,0.67537,0.54068,0.000198091,0.000198091,0.000198091
85,4161.25,0.58732,0.6758,0.4723,0.86164,1,0.995,0.74912,0.59921,0.66366,0.54966,0.000187092,0.000187092,0.000187092
86,4193.38,0.81957,0.90547,0.66176,0.86164,1,0.995,0.74912,0.59921,0.66366,0.54966,0.000176094,0.000176094,0.000176094
87,4227.04,0.84165,0.81659,0.69485,0.86164,1,0.995,0.74912,0.59921,0.66366,0.54966,0.000165095,0.000165095,0.000165095
88,4296.8,0.49316,0.66915,0.53332,0.82413,1,0.995,0.7395,0.62722,0.64346,0.55379,0.000154096,0.000154096,0.000154096
89,4322.78,0.74434,0.67562,0.50531,0.82413,1,0.995,0.7395,0.62722,0.64346,0.55379,0.000143097,0.000143097,0.000143097
90,4346.27,0.71672,0.94971,0.58809,0.82413,1,0.995,0.7395,0.62722,0.64346,0.55379,0.000132098,0.000132098,0.000132098
91,4367.59,0.67622,0.64194,0.43076,0.82413,1,0.995,0.7395,0.62722,0.64346,0.55379,0.000121099,0.000121099,0.000121099
92,4412.62,0.44682,0.54772,0.37228,0.81357,0.9375,0.93803,0.68275,0.65583,0.6327,0.55555,0.0001101,0.0001101,0.0001101
93,4466.94,0.60636,0.62233,0.49065,0.82374,1,0.995,0.72716,0.65583,0.6327,0.55555,9.91012e-05,9.91012e-05,9.91012e-05
94,4496.08,0.45756,0.58345,0.37325,0.82374,1,0.995,0.72716,0.65583,0.6327,0.55555,8.81023e-05,8.81023e-05,8.81023e-05
95,4532.68,0.36715,0.55861,0.34592,0.83455,1,0.995,0.67019,0.64321,0.62212,0.55103,7.71034e-05,7.71034e-05,7.71034e-05
96,4567.62,0.44288,0.55457,0.41925,0.83455,1,0.995,0.67019,0.64321,0.62212,0.55103,6.61045e-05,6.61045e-05,6.61045e-05
97,4598.39,0.35234,0.52847,0.39524,0.83455,1,0.995,0.67019,0.64321,0.62212,0.55103,5.51056e-05,5.51056e-05,5.51056e-05
98,4633.73,0.5687,0.57967,0.48108,0.84576,1,0.995,0.75644,0.60322,0.60775,0.54489,4.41067e-05,4.41067e-05,4.41067e-05
99,4690.42,0.6338,0.60588,0.42365,0.84576,1,0.995,0.75644,0.60322,0.60775,0.54489,3.31078e-05,3.31078e-05,3.31078e-05
100,4720.28,0.35444,0.52672,0.3906,0.84576,1,0.995,0.75644,0.60322,0.60775,0.54489,2.21089e-05,2.21089e-05,2.21089e-05
